 Merge of: A_c4_sub.dat B_c1_sub.dat                                                                                                                                                                                                                            
A_c4_sub.dat  Conc = .10E+01  Mult = .34E+00  N1 =   40  N2 =  201  SCALE =  1
B_c1_sub.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =   82  SCALE =  1
 0.133385E+00  0.120746E+01  0.112475E+00
 0.134484E+00  0.115321E+01  0.112606E+00
 0.135583E+00  0.111340E+01  0.112822E+00
 0.136682E+00  0.107680E+01  0.112967E+00
 0.137781E+00  0.103077E+01  0.113122E+00
 0.138879E+00  0.101163E+01  0.113078E+00
 0.139978E+00  0.974645E+00  0.113222E+00
 0.141077E+00  0.934851E+00  0.113315E+00
 0.142176E+00  0.912198E+00  0.113519E+00
 0.143275E+00  0.877761E+00  0.113570E+00
 0.144374E+00  0.848873E+00  0.113676E+00
 0.145473E+00  0.814364E+00  0.113769E+00
 0.146572E+00  0.782306E+00  0.113827E+00
 0.147671E+00  0.756719E+00  0.113897E+00
 0.148770E+00  0.732596E+00  0.114076E+00
 0.149869E+00  0.703962E+00  0.114138E+00
 0.150968E+00  0.682834E+00  0.114192E+00
 0.152067E+00  0.657376E+00  0.114240E+00
 0.153166E+00  0.630951E+00  0.114317E+00
 0.154265E+00  0.611399E+00  0.114554E+00
 0.155364E+00  0.575928E+00  0.114616E+00
 0.156463E+00  0.561245E+00  0.114600E+00
 0.157562E+00  0.538119E+00  0.114634E+00
 0.158661E+00  0.520460E+00  0.114825E+00
 0.159759E+00  0.481861E+00  0.114701E+00
 0.160858E+00  0.464424E+00  0.114857E+00
 0.161957E+00  0.459284E+00  0.114970E+00
 0.163056E+00  0.445582E+00  0.114990E+00
 0.164155E+00  0.428530E+00  0.115171E+00
 0.165254E+00  0.408731E+00  0.115214E+00
 0.166353E+00  0.394625E+00  0.115369E+00
 0.167452E+00  0.373557E+00  0.115313E+00
 0.168551E+00  0.356867E+00  0.115363E+00
 0.169650E+00  0.350460E+00  0.115453E+00
 0.170749E+00  0.334009E+00  0.115563E+00
 0.171848E+00  0.314484E+00  0.115605E+00
 0.172947E+00  0.305250E+00  0.115600E+00
 0.174046E+00  0.301821E+00  0.115643E+00
 0.175145E+00  0.276312E+00  0.115784E+00
 0.176244E+00  0.271986E+00  0.115741E+00
 0.177343E+00  0.245628E+00  0.115877E+00
 0.178442E+00  0.237375E+00  0.115895E+00
 0.179541E+00  0.236246E+00  0.116046E+00
 0.180639E+00  0.219936E+00  0.115943E+00
 0.181738E+00  0.218333E+00  0.115996E+00
 0.182837E+00  0.227774E+00  0.116196E+00
 0.183936E+00  0.206999E+00  0.116252E+00
 0.185035E+00  0.202236E+00  0.116288E+00
 0.186134E+00  0.208777E+00  0.116407E+00
 0.187233E+00  0.195490E+00  0.116307E+00
 0.188332E+00  0.197085E+00  0.116290E+00
 0.189431E+00  0.190925E+00  0.116257E+00
 0.190530E+00  0.193428E+00  0.116327E+00
 0.191629E+00  0.184038E+00  0.116399E+00
 0.192728E+00  0.183060E+00  0.116457E+00
 0.193827E+00  0.191617E+00  0.116489E+00
 0.194926E+00  0.178859E+00  0.116514E+00
 0.196025E+00  0.179610E+00  0.116484E+00
 0.197124E+00  0.169915E+00  0.116417E+00
 0.198223E+00  0.166691E+00  0.116462E+00
 0.199322E+00  0.169739E+00  0.116444E+00
 0.200421E+00  0.175621E+00  0.116611E+00
 0.201519E+00  0.173748E+00  0.116550E+00
 0.202618E+00  0.167827E+00  0.116517E+00
 0.203717E+00  0.177950E+00  0.116440E+00
 0.204816E+00  0.182306E+00  0.116526E+00
 0.205915E+00  0.176411E+00  0.116458E+00
 0.207014E+00  0.165541E+00  0.116483E+00
 0.208113E+00  0.172556E+00  0.116523E+00
 0.209212E+00  0.176411E+00  0.116608E+00
 0.210311E+00  0.174666E+00  0.116534E+00
 0.211410E+00  0.180474E+00  0.116548E+00
 0.212509E+00  0.169122E+00  0.116562E+00
 0.213608E+00  0.176729E+00  0.116604E+00
 0.214707E+00  0.168332E+00  0.116507E+00
 0.215806E+00  0.176979E+00  0.116504E+00
 0.216905E+00  0.186023E+00  0.116534E+00
 0.218004E+00  0.183248E+00  0.116623E+00
 0.219103E+00  0.185708E+00  0.116539E+00
 0.220202E+00  0.186013E+00  0.116514E+00
 0.221301E+00  0.178164E+00  0.116606E+00
 0.222399E+00  0.176522E+00  0.116383E+00
 0.223498E+00  0.183906E+00  0.116459E+00
 0.224597E+00  0.190836E+00  0.116487E+00
 0.225696E+00  0.193511E+00  0.116451E+00
 0.226795E+00  0.192558E+00  0.116499E+00
 0.227894E+00  0.189505E+00  0.116474E+00
 0.228993E+00  0.195830E+00  0.116331E+00
 0.230092E+00  0.190534E+00  0.116382E+00
 0.231191E+00  0.201399E+00  0.116401E+00
 0.232290E+00  0.204167E+00  0.116378E+00
 0.233389E+00  0.210298E+00  0.116440E+00
 0.234488E+00  0.195191E+00  0.116323E+00
 0.235587E+00  0.189939E+00  0.116383E+00
---------C:\kurs\NgoPII\A_c4_sub.dat-------------------
 29-Nov-2007       (131_WP2_A.dat   - 1.000 *133_WPbuffer_A.) /  1.0000                                                                                                                                                                                         
131_WP2_A.da  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  201  SCALE =  1                                                                                                                                                                                  
 uffer_A.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  201  SCALE =  1                                                                                                                                                                                  
---------C:\kurs\NgoPII\B_c1_sub.dat-------------------
 29-Nov-2007       (128_WP1_B.dat   - 1.000 *131_WPbuffer_B.) /  1.0000                                                                                                                                                                                         
128_WP1_B.da  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  201  SCALE =  1                                                                                                                                                                                  
 uffer_B.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  201  SCALE =  1                                                                                                                                                                                  
